    1  HONIARA/HENDERSON             AGGH  HONIARA, SOLOMON ISLANDS      0925420}16003120}000280  
   37  FORT MCMURRAY                 CYMM  FORT MCMURRAY, ALTA, CANADA   56391000111131800012110  
   38  MONTREAL INTL-MIRABEL         CYMX  MONTREAL, QUE, CANADA         45404700074021800002700  
   39  OTTAWA/GATINEAU               CYND  OTTAWA/GATINEAU, QUE, CANADA  45311700075335100002110  
   40  COLD LAKE CFB                 CYOD  COLD LAKE, ALTA, CANADA       54241800110164600017750  
   41  OSHAWA                        CYOO  OSHAWA, ONT, CANADA           43552200078534200004590  
   42  MACDONALD-CARTIER INTL        CYOW  OTTAWA, ONT, CANADA           45192100075400900003740  
   43  PRINCE ALBERT                 CYPA  PRINCE ALBERT, SASK, CANADA   53125100105402200014050  
   44  PETERBOROUGH                  CYPQ  PETERBOROUGH, ONT, CANADA     44134800078214800006280  
   45  JEAN LESAGE INTL              CYQB  QUEBEC, QUE, CANADA           46473600071232900002440  
   46  WINDSOR                       CYQG  WINDSOR, ONT, CANADA          42162900082573000006220  
   47  LETHBRIDGE                    CYQL  LETHBRIDGE, ALTA, CANADA      49374900112475900030470  
   48  MONCTON                       CYQM  MONCTON, NB, CANADA           46064300064404300002320  
   49  REGINA                        CYQR  REGINA, SASK, CANADA          50255500104395700018940  
   50  THUNDER BAY                   CYQT  THUNDER BAY, ONT, CANADA      48221900089192600006530  
   51  YORKTON                       CYQV  YORKTON, SASK, CANADA         51155300102274200016350  
   52  NORTH BATTLEFORD              CYQW  NORTH BATTLEFORD, SASK, CANADA52460900108143700017990  
   53  GANDER INTL                   CYQX  GANDER, NFLD, CANADA          48562400054340700004960  
   54  RESOLUTE BAY                  CYRB  RESOLUTE BAY, CANADA          74430100095580900002150  
   55  ST HONORE                     CYRC  CHICOUTIMI, QUE, CANADA       48311700071030600005440  
   56  CARP                          CYRP  OTTAWA, ONT, CANADA           45190900076012000003820  
   57  TROIS-RIVIERES                CYRQ  TROIS-RIVIERES, QUE, CANADA   46211000072404600001980  
   58  SUDBURY                       CYSB  SUDBURY, ONT, CANADA          46373000080475600011400  
   59  SHERBROOKE                    CYSC  SHERBROOKE, QUE, CANADA       45261700071412600007920  
   60  ST CATHARINES/NIAGARA DISTRICTCYSN  ST CATHARINES, ONT, CANADA    43113000079101800003210  
   61  TRENTON CFB                   CYTR  TRENTON, ONT, CANADA          44070800077314100002830  
   62  CITY CENTRE                   CYTZ  TORONTO, ONT, CANADA          43373900079234600002510  
   63  MONTREAL INTL-DORVAL          CYUL  MONTREAL, QUE, CANADA         45280500073442900001170  
   64  VANCOUVER INTL                CYVR  VANCOUVER, BC, CANADA         49113900123110000000090  
   65  WINNIPEG INTL                 CYWG  WINNIPEG, MAN, CANADA         49543900097143600007830  
   66  EDMONTON MUNICIPAL            CYXD  EDMONTON, ALTA, CANADA        53342100113311400022000  
   67  JOHN S DIEFENBAKER            CYXE  SASKATOON, SASK, CANADA       52101500106415900016530  
   68  MEDICINE HAT                  CYXH  MEDICINE HAT, ALTA, CANADA    50010800110431500023520  
   69  PRINCE GEORGE                 CYXS  PRINCE GEORGE, BC, CANADA     53532700122404400022680  
   70  LONDON                        CYXU  LONDON, ONT, CANADA           43020800081091400009120  
   71  WHITEHORSE INTL               CYXY  WHITEHORSE, YUKON, CANADA     60420000135040000023170  
   72  NORTH BAY                     CYYB  NORTH BAY, ONT, CANADA        46214900079252200012150  
   73  CALGARY INTL                  CYYC  CALGARY, ALTA, CANADA         51065000114010600035570  
   74  CHARLOTTETOWN                 CYYG  CHARLOTTETOWN, PEI, CANADA    46171800063074500001600  
   75  VICTORIA INTL                 CYYJ  VICTORIA, BC, CANADA          48384900123253300000630  
   76  ST JOHN'S                     CYYT  ST JOHN'S, NFLD, CANADA       47370700052450700004610  
   77  CHURCHILL                     CYYQ  CHURCHILL, MAN, CANADA        58440900094035900000960  
   78  TORONTO-LESTER B PEARSON INTL CYYZ  TORONTO, ONT, CANADA          43403800079375400005690  
   79  DOWNSVIEW                     CYZD  TORONTO, ONT, CANADA          43443300079275600006500  
   80  YELLOWKNIFE                   CYZF  YELLOWKNIFE, NWT, CANADA      62274500114210300005180  
   81  SLAVE LAKE                    CYZH  SLAVE LAKE, ALBERTA, CANADA   55170000114460000019120  
   82  SARNIA                        CYZR  SARNIA, ONT, CANADA           42595800082183200005940  
   83  PORT HARDY                    CYZT  PORT HARDY, BC, CANADA        50415000127220100000710  
   84  BURLINGTON AIRPARK            CZBA  BURLINGTON, ONT, CANADA       43263300079510300006400  
   85  FARO                          CZFA  FARO, YT, CANADA              62122700133223300023510  
   86  VILLENEUVE                    CZVL  EDMONTON, ALTA, CANADA        53400300113511600022410  
   87  BOU SAADA                     DAAD  BOU SAADA, ALGERIA            3519480000412360}015060  
   88  TISKA                         DAAJ  DJANET, ALGERIA               2417300000927060}031760  
   89  EL MELLAH                     DABB  ANNABA, ALGERIA               3649300000748360}000160  
   90  MOHAMMED BOUDIAF INTL         DABC  CONSTANTINE, ALGERIA          3616480000637300}023030  
   91  BOU CHEKIF                    DAOB  TIARET, ALGERIA               3520360000127480}032450  
   92  ES SENIA                      DAOO  ORAN, ALGERIA                 35374800000363600002950  
   93  IN SALAH                      DAUI  IN SALAH, ALGERIA             2714480000231000}008830  
   94  COTONOU/CADJEHOUN             DBBB  COTONOU, BENIN                0621300000223060}000160  
   95  PARAKOU                       DBBP  PARAKOU, BENIN                0921180000236360}012660  
   96  OUAGADOUGOU                   DFFD  OUAGADOUGOU, BURKINA FASO     12211200001304800010370  
   97  BOBO DIOULASS0                DFOO  BOBO DIOULASSO, BURKINA FASO  11093600004194800015090  
   98  KOTOKA INTL                   DGAA  ACCRA, GHANA                  05354800000101800002050  
   99  TAMALE                        DGLE  TAMALE, GHANA                 09334800000514800005530  
  100  KUMASI                        DGSI  KUMASI, GHANA                 06430600001353000009420  
  101  SUNYANI                       DGSN  SUNYANI, GHANA                07220000002194200010140  
  102  TAKORADI                      DGTK  TAKORADI, GHANA               04533600001463000000210  
  103  ABIDJAN FELIX/HOUP/BOI INTL   DIAP  ABIDJAN, IVORY COAST          05153600003553600000200  
  104  BOUAKE                        DIBK  BOUAKE, IVORY COAST           07451200005040600012240  
  105  MAN                           DIMN  MAN, IVORY COAST              07164200007351800010890  
  106  YAMOUSSOUKRO                  DIYO  YAMOUSSOUKRO, IVORY COAST     06544200005215400006960  
  107  ABUJA INTL                    DNAA  ABUJA, NIGERIA                0900180000715540}011230  
  108  BENIN                         DNBE  BENIN, NIGERIA                0619000000536000}002580  
  109  CALABAR                       DNCA  CALABAR, NIGERIA              0458300000820540}002110  
  110  ENUGU                         DNEN  ENUGU, NIGERIA                0628300000733420}004660  
  111  IBADAN                        DNIB  IBADAN, NIGERIA               0721420000358420}007250  
  112  ILORIN                        DNIL  ILORIN, NIGERIA               0826300000429300}011250  
  113  KADUNA                        DNKA  KADUNA, NIGERIA               1041420000719240}020730  
  114  MALLAM AMINU INTL             DNKN  KANO, NIGERIA                 1202300000830480}015650  
  115  MAIDUGURI                     DNMA  MAIDUGURI, NIGERIA            1151180001305000}011020  
  116  LAGOS/MURTALA MUHAMMED        DNMM  LAGOS/M  MUHAMMED, NIGERIA    0634300000319180}001350  
  117  PORT HARCOURT INTL            DNPO  PORT HARCOURT, NIGERIA        0500540000656480}000810  
  118  SADIQ ABUBAKAR III INTL/SOKOTODNSO  SOKOTO, NIGERIA               1254480000512240}010060  
  119  YOLA                          DNYO  YOLA, NIGERIA                 0915360001225540}005990  
  120  ZARIA                         DNZA  ZARIA, NIGERIA                1107540000741180}021500  
  121  NIAMEY                        DRRN  NIAMEY, NIGER                 1328540000210120}007280  
  122  ZINDER                        DRZR  ZINDER, NIGER                 1346420000859060}015090  
  123  HABIB BOURGUIBA INTL          DTMB  MONASTIR, TUNISIA             3545480001045240}000070  
  124  TUNIS/CARTHAGE                DTTA  TUNIS/CARTHAGE, TUNISIA       3651120001013420}000200  
  125  THYNA                         DTTX  SFAX, TUNISIA                 3443060001041300}000850  
  126  NIAMTOUGOU                    DXNG  NIAMTOUGOU, TOGO              0946120000105360}015130  
  127  LOME/TOKOIN                   DXXX  LOME,TOGO                     0609480000115180}000720  
  128  DEURNE                        EBAW  ANTWERP, BELGIUM              5111240000427480}000390  
  129  KLEINE-BROGEL BAF             EBBL  KLEINE-BROGEL, BELGIUM        5110060000528120}002000  
  130  BRUSSELS SOUTH                EBCI  CHARLEROI, BELGIUM            5027420000427120}006140  
  131  WEVELGEM                      EBKT  KORTRIJK, BELGIUM             5049060000312300}000620  
  132  BIERSET                       EBLG  LIEGE, BELGIUM                5038120000526360}006590  
  133  BRUSSELS NAT (ZAVENTEM)       EBMB  BRUSSELS, BELGIUM             5054060000429540}001840  
  134  HERINGSDORF                   EDAH  HERINGSDORF, GERMANY          5352420001409180}000930  
  135  BARTH                         EDBH  BARTH, GERMANY                5420060001242480}000230  
  136  NEUBRANDENBURG                EDBN  NEUBRANDENBURG, GERMANY       5336120001318240}002280  
  137  SCHONEFELD                    EDDB  BERLIN, GERMANY               5222420001331120}001540  
  138  DRESDEN                       EDDC  DRESDEN, GERMANY              5108000001346060}007550  
  139  ERFURT                        EDDE  ERFURT, GERMANY               5058480001057480}010360  
  140  FRANKFURT MAIN INTL           EDDF  FRANKFURT, GERMANY            5001540000834120}003640  
  141  MUNSTER-OSNABRUCK             EDDG  MUNSTER-OSNABRUCK, GERMANY    5208120000741060}001590  
  142  HAMBURG                       EDDH  HAMBURG, GERMANY              5337540000959480}000530  
  143  DUSSELDORF                    EDDL  DUSSELDORF, GERMANY           5117120000646120}001470  
  144  MUNCHEN                       EDDM  MUNCHEN, GERMANY              4821120001147120}014860  
  145  HALLE                         EDDP  LEIPZIG, GERMANY              5124540001213480}004630  
  146  ENSHEIM                       EDDR  SAARBRUCKEN, GERMANY          4912540000706360}010570  
  147  STUTTGART (ECHTERDINGEN AFA)  EDDS  STUTTGART, GERMANY            4841180000912360}013000  
  148  HANNOVER                      EDDV  HANNOVER, GERMANY             5227420000941060}001830  
  149  BREMEN                        EDDW  BREMEN, GERMANY               5302480000847180}000130  
  150  MANNHEIM NEUOSTHEIM           EDFM  MANNHEIM, GERMANY             4928240000830540}003090  
  151  HAMBURG/FINKENWERDER          EDHI  HAMBURG, GERMANY              5332060000950060}000160  
  152  KIEL-HOLTENAU                 EDHK  KIEL-HOLTENAU, GREMANY        5422480001008420}001010  
  153  MULHEIM                       EDLE  ESSEN, GERMANY                5124120000656120}004240  
  154  WICKEDE                       EDLW  DORTMUND, GERMANY             5131120000736480}004060  
  155  FRIEDRICHSHAFEN MIL/FA        EDNY  FRIEDRICHSHAFEN, GERMANY      4740120000930420}013660  
  156  ELCHINGEN                     EDPA  AALEN-HEIDENHEIM, GERMANY     4846420001015540}019160  
  157  FREIBURG/BREISGAU             EDTF  FREIBURG, GERMANY             4801060000750120}007990  
  158  DIEPHOLZ                      EDXQ  DIEPHOLZ, GERMANY             5235120000820300}001270  
  159  SYLT                          EDXW  WESTERLAND, GERMANY           5454480000820240}000510  
  160  ULEMISTE                      EETN  TALLINN, ESTONIA              5924480002450060}001310  
  161  ENONTEKIO                     EFET  ENONTEKIO, FINLAND            6822000002325240}010050  
  162  HALLI                         EFHA  HALLI, FINLAND                6151240002447120}004790  
  163  HELSINKI/MALMI                EFHF  HELSINKI, FINLAND             6015180002502420}000570  
  164  HELSINKI-VANTAA               EFHK  HELSINKI, FINLAND             6019360002458180}001670  
  165  IVALO                         EFIV  IVALO, FINLAND                6836240002724240}004810  
  166  KAUHAVA                       EFKA  KAUHAVA, FINLAND              6307360002303060}001510  
  167  OULU                          EFOU  OULU, FINLAND                 6455480002521360}000470  
  168  PORI                          EFPO  PORI, FINLAND                 6127480002147540}000440  
  169  RAAHE-PATTIJOKI               EFRH  RAAHE-PATTIJOKI, FINLAND      6441180002441240}001180  
  170  TAMPERE-PIRKKALA              EFTP  TAMPERE-PIRKKALA, FINLAND     6124480002336240}003900  
  171  TURKU                         EFTU  TURKU, FINLAND                6030540002215540}001610  
  172  VAASA                         EFVA  VASSA, FINLAND                6302420002145480}000150  
  173  ALDERGROVE                    EGAA  BELFAST, UNITED KINGDOM       54391200006133600002670  
  174  EGLINTON                      EGAE  LONDONDERRY, UNITED KINGDOM   55023600007092400000230  
  175  BIRMINGHAM                    EGBB  BIRMINGHAM, UNITED KINGDOM    52271200001444800003250  
  176  MANCHESTER INTL               EGCC  MANCHESTER, UNITED KINGDOM    53211200002162400002560  
  177  CARDIFF                       EGFF  CARDIFF, UNITED KINGDOM       51234800003205400002200  
  178  LULSGATE                      EGGD  BRISTOL, UNITED KINGDOM       51225400002425400006220  
  179  LIVERPOOL                     EGGP  LIVERPOOL, UNITED KINGDOM     53200000002510000000810  
  180  LUTON                         EGGW  LONDON/LUTON, UNITED KINGDOM  51522400000220600005260  
  181  ROBOROUGH                     EGHD  PLYMOUTH, UNITED KINGDOM      50252400004063600004740  
  182  EASTLEIGH/SOUTHAMPTON         EGHI  SOUTHAMPTON/EASTLEIGH, UK     50570000001212400000440  
  183  GUERNSEY                      EGJB  GUERNSEY,GUERNSEY CHAN I, UK  49261200002361200003360  
  184  JERSEY                        EGJJ  JERSEY, JERSEY CHANNEL I, UK  49123600002114200002770  
  185  GATWICK                       EGKK  LONDON, UNITED KINGDOM        51084800000115400001960  
  186  HEATHROW                      EGLL  LONDON, UNITED KINGDOM        51281800000271200000800  
  187  HUMBERSIDE                    EGNJ  HUMBERSIDE, UNITED KINGDOM    53343600000210000001220  
  188  LEEDS-BRADFORD                EGNM  LEEDS & BRADFORD, U KINGDOM   53515400001392400006820  
  189  HAWARDEN                      EGNR  HAWARDEN, UNITED KINGDOM      53104800002583000000350  
  190  NEWCASTLE                     EGNT  NEWCASTLE, UNITED KINGDOM     55021200001413000002640  
  191  TEESSIDE                      EGNV  TEESSIDE, UNITED KINGDOM      54304200001251800001200  
  192  ORKNEY/KIRKWALL               EGPA  KIRKWALL, UNITED KINGDOM      58572400002542400000500  
  193  SUMBURGH                      EGPB  SUMBURGH/SHETLAND, U KINGDOM  59524200001173600000190  
  194  WICK                          EGPC  WICK, UNITED KINGDOM          58272400003055400001250  
  195  DYCE                          EGPD  ABERDEEN, UNITED KINGDOM      57121200002120000002150  
  196  INVERNESS                     EGPE  INVERNESS, UNITED KINGDOM     57322400004030000000310  
  197  GLASGOW                       EGPF  GLASGOW, UNITED KINGDOM       55521800004260000000260  
  198  EDINBURGH                     EGPH  EDINBURGH, UNITED KINGDOM     55570600003214800001350  
  199  ISLAY                         EGPI  ISLAY, UNITED KINGDOM         55405400006152400000580  
  200  PRESTWICK                     EGPK  PRESTWICK, UNITED KINGDOM     55300000004340000000650  
  201  BENBECULA                     EGPL  BENBECULA, UNITED KINGDOM     57283600007220000000190  
  202  STORNOWAY                     EGPO  STORNOWAY, UNITED KINGDOM     58124800006194800000250  
  203  TIREE                         EGPU  TIREE, UNITED KINGDOM         56300000006522400000380  
  204  KINLOSS                       EGQK  KINLOSS, UNITED KINGDOM       57390000003333600000220  
  205  NORWICH                       EGSH  NORWICH, UNITED KINGDOM       5240300000117060}001170  
  206  STANSTED                      EGSS  LONDON-STANSTED, U KINGDOM    5152540000014000}003470  
  207  BRIZE NORTON                  EGVN  LONDON, UNITED KINGDOM        51440000001350000002880  
  208  MOUNT PLEASANT                EGYP  MOUNT PLEASANT,FALKLAND I, UK 5149240}058264800002440  
  209  SCHIPHOL                      EHAM  AMSTERDAM, NETHERLANDS        5218300000445480}00-110  
  210  DEELEN RNLAF                  EHDL  DEELEN, NETHERLANDS           5203360000552180}001580  
  211  DRACHTEN                      EHDR  DRACHTEN, NETHERLANDS         5307120000607420}000140  
  212  EINDHOVEN                     EHEH  EINDHOVEN, NETHERLANDS        5127000000522300}000740  
  213  EELDE                         EHGG  GRONINGEN, NETHERLANDS        5307120000634300}000170  
  214  DE KOOY (DEN HELDER)          EHKD  DE KOOY, NETHERLANDS          5255300000447060}000030  
  215  LEEUWARDEN                    EHLW  LEEUWARDEN, NETHERLANDS       5313420000545360}000040  
  216  ROTTERDAM                     EHRD  ROTTERDAM, NETHERLANDS        5157240000426240}00-140  
  217  TWENTHE                       EHTW  ENSCHEDE, NETHERLANDS         5216180000652240}001140  
  218  VALKENBURG                    EHVB  VALKENBURG, NETHERLANDS       5210060000425300}000000  
  219  WOENSDRECHT                   EHWO  WOENSDRECHT, NETHERLANDS      5127000000420120}000630  
  220  GALWAY(CARNMORE)              EICM  GALWAY(CARNMORE), IRELAND     53180000008563000000900  
  221  DONEGAL(GARRICKFIN)           EIDL  DONEGAL(GARRICKFIN), IRELAND  55024800008204800000260  
  222  SLIGO                         EISG  SLIGO, IRELAND                54163000008360600000200  
  223  TIRSTRUP                      EKAH  AARHUS, DENMARK               5618060001037060}000820  
  224  BILLUND                       EKBI  BILLUND, DENMARK              5544240000909240}002470  
  225  KASTRUP                       EKCH  COPENHAGEN, DENMARK           5536420001238300}000170  
  226  ESBJERG                       EKEB  ESBJERG, DENMARK              5531360000833060}000970  
  227  KARUP RDAF                    EKKA  HERNING, DENMARK              5617540000906120}001700  
  228  KARUP RDAF                    EKKA  SILKEBORG, DENMARK            5617540000906120}001700  
  229  ODENSE                        EKOD  ODENSE, DENMARK               5528360001019480}000560  
  230  ROSKILDE                      EKRK  COPENHAGEN, DENMARK           5535060001207480}001450  
  231  RONNE                         EKRN  BORNHOLM, DENMARK             5503480001445360}000520  
  232  SONDERBORG                    EKSB  SONDERBORG, DENMARK           5457540000947420}000240  
  233  SKIVE                         EKSV  SKIVE, DENMARK                5632540000910300}000720  
  234  AALBORG RDAF                  EKYT  HJORRING, DENMARK             5705360000950540}000100  
  235  FINDEL/LUXEMBOURG             ELLX  LUXEMBOURG, LUXEMBOURG        4937480000612480}012340  
  236  VIGRA                         ENAL  ALESUND, NORWAY               6233420000606480}000710  
  237  ANDOYA(ANDENES) ANOAF         ENAN  ANDOYA(ANDENES), NORWAY       6917360001608360}000460  
  238  ALTA                          ENAT  ALTA, NORWAY                  6958360002322180}000100  
  239  BRINGELAND                    ENBL  FORDE, NORWAY                 6123360000545540}010450  
  240  BROENNOEY                     ENBN  BRONNOYSUND, NORWAY           6527420001213120}000280  
  241  BODO RNOAF                    ENBO  BODO, NORWAY                  6716120001422180}000420  
  242  FLESLAND                      ENBR  BERGEN, NORWAY                6017360000513060}001650  
  243  BATSFJORD                     ENBS  BATSFJORD, NORWAY             7036000002939300}001330  
  244  BERLEVAG                      ENBV  BERLEVAG, NORWAY              7052180002902060}000430  
  245  KJEVIK                        ENCN  KRISTIANSAND, NORWAY          5812180000805120}000570  
  246  DAGALI                        ENDI  DAGALI, NORWAY                6025060000830420}026170  
  247  DAGALI                        ENDI  GEILO, NORWAY                 6025060000830420}026170  
  248  BARDUFOSS RNOAF               ENDU  BARDUFOSS, NORWAY             6903240001832180}002600  
  249  EVENES RNOAF                  ENEV  EVENES/HARSTAD, NORWAY        6829300001640420}000850  
  250  HARSTAD-NARVIK LUFTHAVN       ENEV  HARSTAD/EVENES, NORWAY        6829300001640420}000850  
  251  FORNEBU                       ENFB  OSLO, NORWAY                  5953420001037060}000540  
  252  LEIRIN                        ENFG  FAGERNES, NORWAY              6100300000918000}026970  
  253  FLORO                         ENFL  FLORO, NORWAY                 6135060000501360}000310  
  254  GARDERMOEN                    ENGM  OSLO, NORWAY                  6012120001105000}006720  
  255  STAFSBERG                     ENHA  HAMAR, NORWAY                 6049060001104120}007300  
  256  KARMOY                        ENHD  HAUGESUND, NORWAY             5920480000512360}000770  
  257  HAMMERFEST                    ENHF  HAMMERFEST, NORWAY            7040480002340120}002660  
  258  HASVIK                        ENHK  HASVIK, NORWAY                7029120002208240}000250  
  259  VALAN                         ENHV  HONNINGSVAG, NORWAY           7100360002559000}000460  
  260  KVERNBERGET                   ENKB  KRISTIANSUND, NORWAY          6306420000749360}002040  
  261  KJELLER                       ENKJ  KJELLER, NORWAY               5958120001102240}003480  
  262  HOYBUKTMOEN                   ENKR  KIRKENES, NORWAY              6943360002953360}002990  
  263  LISTA(FARSUND) RNOAF          ENLI  LISTA, NORWAY                 5806000000637300}000320  
  264  LEKNES                        ENLK  LEKNES, NORWAY                6809120001336420}000860  
  265  MEHAMN                        ENMH  MEHAMN, NORWAY                7101480002749420}000410  
  266  ARO                           ENML  MOLDE, NORWAY                 6244420000716240}000100  
  267  KJAERSTAD                     ENMS  MOSJOEN, NORWAY               6547000001313000}002360  
  268  BANAK(LAKSELV) RNOAF          ENNA  KARASJOK, NORWAY              7004000002458300}000250  
  269  BANAK(LAKSELV) RNOAF          ENNA  LAKSELV, NORWAY               7004000002458300}000250  
  270  FRAMNES                       ENNK  NARVIK, NORWAY                6826120001723180}000970  
  271  NAMSOS                        ENNM  NAMSOS, NORWAY                6428240001134480}000070  
  272  NOTODDEN                      ENNO  NOTODDEN, NORWAY              5933480000913060}000600  
  273  ORLAND                        ENOL  ORLAND, NORWAY                6342000000936120}000300  
  274  HOVDEN                        ENOV  ORSTA-VOLDA, NORWAY           6210480000604240}002430  
  275  ROSSVOLL                      ENRA  MO I RANA, NORWAY             6621480001418120}002280  
  276  RYUM                          ENRM  RORVIK, NORWAY                6450180001108540}000140  
  277  ROROS                         ENRO  ROROS, NORWAY                 6234480001120480}020540  
  278  ROST                          ENRS  ROST, NORWAY                  6731420001206180}000120  
  279  RYGGE RNOAF                   ENRY  RYGGE, NORWAY                 5922480001047060}001730  
  280  SVALBARD/LONGYEAR             ENSB  SVALBARD/LONGYEAR, SVALBARD   7814420001528240}000940  
  281  SVALBARD/LONGYEAR             ENSB  LONGYEARBYEN, NORWAY          7814420001528240}000940  
  282  ANDA                          ENSD  SANDANE, NORWAY               6149480000606360}001960  
  283  HAUKASEN                      ENSG  SOGNDAL, NORWAY               6109240000708240}016320  
  284  HELLE                         ENSH  SVOLVAER, NORWAY              6814360001440120}000300  
  285  SKAGEN                        ENSK  STOKMARKNES, NORWAY           6834540001501240}000110  
  286  GEITERYGGEN                   ENSN  SKIEN, NORWAY                 5910540000933540}004630  
  287  SOERSTOKKEN                   ENSO  STORD, NORWAY                 5947360000520300}001600  
  288  SORKJOSEN                     ENSR  SORKJOSEN, NORWAY             6947120002057420}000190  
  289  SVARTNES                      ENSS  VARDO, NORWAY                 7021180003102420}000400  
  290  STOKKA                        ENST  SANDNESSJOEN, NORWAY          6557360001228180}000540  
  291  TROMSO                        ENTC  TROMSO, NORWAY                6940540001855240}000290  
  292  LANGNES                       ENTC  TROMSO, NORWAY                6940540001855240}000290  
  293  TORP                          ENTO  SANDEFJORD, NORWAY            5911120001015300}002850  
  294  TORP                          ENTO  TORP, NORWAY                  5911120001015300}002850  
  295  TRONDHEIM                     ENVA  VAERNES, NORWAY               6327300001056240}000550  
  296  VADSO                         ENVD  VADSO, NORWAY                 7003540002950420}001270  
  297  SOLA                          ENZV  STAVANGER, NORWAY             5852360000538180}000290  
  298  REBIECHOWO                    EPGD  GDANSK, POLAND                5422360001828000}004880  
  299  BALICE                        EPKK  KRAKOW, POLAND                5004360001947060}007910  
  300  MUCHOWIEC                     EPKM  KATOWICE, POLAND              5014180001902060}009090  
  301  PYRZOWICE                     EPKT  KATOWICE, POLAND              5028240001904480}009950  
  302  LUBLINEK                      EPLL  LODZ, POLAND                  5143180001923540}006040  
  303  LUBIN                         EPLU  LUBIN, POLAND                 5125240001611480}005120  
  304  MIELEC                        EPML  MIELEC, POLAND                5019180002127480}005480  
  305  LAWICA                        EPPO  POZNAN, POLAND                5225180001649420}003080  
  306  JASIONKA                      EPRZ  RZESZOW, POLAND               5006360002201120}006920  
  307  GOLENIOW                      EPSC  SZCZECIN, POLAND              5335060001454120}001540  
  308  TORUN                         EPTO  GRUDZIADZ, POLAND             5301480001832540}001640  
  309  OKECIE                        EPWA  WARSZAWA/WARSAW, POLAND       5210000002058060}003620  
  310  OKECIE                        EPWA  WARSAW/WARSZAWA, POLAND       5210000002058060}003620  
  311  STRACHOWICE                   EPWR  WROCLAW, POLAND               5106120001653120}004040  
  312  BABIMOST                      EPZG  ZIELONA GORA, POLAND          5208120001547540}001940  
  313  UPPSALA                       ESCM  UPPSALA, SWEDEN               5954000001735420}000690  
  314  ANGELHOLM SWAF                ESDB  HELSINGBORD, SWEDEN           5617420001250540}000680  
  315  KALLINGE/RONNEBY              ESDF  RONNEBY, SWEDEN               5616000001516000}001910  
